rank,peak-rank,weeks-on-board
1,1,3
2,1,16
3,1,14
4,3,19
5,2,18
6,1,8
7,7,7
8,1,24
9,9,20
10,2,56
11,9,17
12,3,29
13,12,41
14,14,18
15,15,8
16,11,18
17,1,46
18,15,14
19,9,23
20,1,5
21,17,3
22,4,8
23,23,7
24,1,31
25,23,26
26,2,8
27,27,1
28,28,1
29,10,6
30,25,14
31,31,6
32,6,12
33,11,13
34,20,27
35,35,2
36,34,12
37,32,5
38,38,2
39,39,13
40,34,17
41,40,17
42,1,34
43,43,11
44,33,14
45,20,2
46,14,15
47,22,9
48,38,13
49,37,17
50,18,9
51,28,7
52,3,8
53,53,6
54,28,18
55,6,9
56,56,5
57,56,13
58,58,11
59,50,16
60,26,17
61,61,1
62,39,2
63,62,13
64,32,15
65,65,3
66,41,15
67,67,4
68,68,5
69,69,1
70,69,4
71,38,5
72,61,4
73,22,13
74,74,3
75,16,16
76,51,15
77,68,5
78,67,3
79,79,1
80,20,5
81,51,3
82,82,3
83,83,4
84,16,20
85,85,3
86,68,12
87,87,1
88,88,1
89,89,1
90,90,1
91,11,8
92,92,2
93,93,3
94,7,8
95,95,3
96,96,1
97,24,14
98,91,2
99,64,16
100,58,4
1,1,2
2,1,15
3,1,13
4,3,18
5,2,17
6,1,7
7,1,23
8,2,55
9,9,6
10,3,28
11,11,19
12,9,16
13,1,4
14,12,40
15,15,17
16,11,17
17,1,45
18,4,7
19,17,2
20,20,1
21,21,7
22,9,22
23,15,13
24,1,30
25,23,25
26,2,7
27,6,11
28,10,5
29,25,13
30,11,12
31,31,5
32,32,6
33,20,26
34,34,11
35,33,13
36,34,16
37,28,17
38,32,4
39,39,1
40,40,16
41,41,12
42,37,16
43,22,8
44,1,33
45,45,1
46,38,12
47,14,14
48,3,7
49,19,22
50,3,29
51,51,10
52,18,8
53,28,6
54,26,16
55,55,5
56,56,1
57,57,1
58,6,8
59,56,12
60,20,20
61,41,14
62,50,15
63,63,4
64,62,10
65,62,12
66,61,3
67,67,2
68,68,1
69,69,1
70,16,15
71,38,4
72,51,14
73,51,2
74,32,14
75,22,12
76,76,2
77,69,3
78,78,1
79,10,20
80,73,4
81,81,3
82,16,19
83,83,2
84,84,2
85,68,4
86,68,11
87,11,7
88,88,3
89,20,4
90,4,7
91,91,1
92,92,1
93,50,12
94,7,7
95,95,1
96,95,2
97,64,3
98,53,2
99,90,2
100,97,2
1,1,12
2,1,14
3,3,17
4,2,16
5,1,6
6,1,22
7,3,27
8,2,54
9,9,15
10,10,5
11,11,18
12,12,39
13,1,44
14,4,6
15,15,16
16,11,16
17,17,1
18,1,3
19,15,12
20,1,29
21,9,21
22,2,6
23,23,24
24,6,10
25,25,6
26,10,4
27,25,12
28,28,16
29,20,25
30,11,11
31,31,4
32,32,3
33,26,15
34,34,15
35,33,12
36,22,7
37,37,15
38,1,32
39,3,6
40,40,10
41,1,30
42,3,28
43,43,15
44,44,5
45,45,11
46,38,11
47,41,13
48,19,21
49,18,7
50,6,7
51,51,1
52,14,13
53,53,1
54,28,5
55,55,9
56,56,11
57,20,19
58,51,13
59,16,14
60,50,14
61,61,2
62,62,9
63,62,11
64,64,4
65,65,3
66,38,3
67,22,11
68,68,1
69,69,2
70,32,20
71,16,18
72,32,13
73,24,20
74,11,6
75,75,1
76,10,19
77,4,6
78,73,3
79,68,10
80,50,11
81,32,3
82,82,2
83,7,6
84,48,8
85,68,3
86,86,1
87,24,17
88,88,1
89,58,3
90,90,1
91,91,1
92,64,2
93,48,5
94,94,1
95,95,1
96,24,13
97,97,1
98,91,2
99,20,3
100,28,3
1,1,13
2,2,11
3,3,16
4,1,5
5,2,15
6,1,21
7,3,26
8,2,53
9,4,5
10,10,14
11,11,4
12,1,2
13,13,17
14,1,43
15,15,38
16,16,15
17,1,28
18,11,15
19,15,11
20,2,5
21,9,20
22,6,9
23,22,6
24,24,23
25,25,11
26,10,3
27,20,24
28,26,14
29,11,10
30,3,5
31,3,27
32,32,5
33,33,11
34,34,14
35,35,3
36,36,1
37,1,31
38,38,10
39,1,29
40,19,20
41,41,12
42,42,15
43,43,9
44,6,6
45,45,14
46,18,6
47,44,4
48,14,12
49,20,18
50,28,4
51,51,14
52,16,13
53,53,10
54,50,10
55,53,24
56,56,10
57,57,8
58,1,20
59,38,2
60,60,1
61,32,2
62,62,10
63,51,12
64,11,5
65,4,5
66,66,1
67,67,8
68,50,13
69,69,1
70,16,17
71,24,19
72,72,2
73,22,10
74,32,19
75,75,1
76,76,1
77,77,3
78,78,1
79,7,5
80,80,2
81,28,2
82,10,18
83,83,1
84,48,7
85,68,9
86,58,2
87,24,16
88,48,4
89,89,1
90,90,1
91,91,1
92,73,2
93,66,2
94,32,12
95,95,1
96,96,1
97,97,1
98,9,5
99,10,5
100,40,2
1,1,1
2,1,12
3,2,10
4,1,4
5,5,15
6,2,14
7,1,20
8,3,25
9,4,4
10,2,52
11,11,13
12,1,42
13,1,27
14,14,3
15,15,37
16,14,16
17,2,4
18,11,14
19,19,14
20,20,23
21,15,10
22,6,8
23,3,4
24,10,2
25,9,19
26,26,13
27,27,22
28,28,1
29,26,10
30,3,26
31,11,9
32,32,1
33,1,30
34,6,5
35,35,13
36,1,19
37,37,2
38,38,1
39,19,19
40,40,1
41,1,28
42,18,5
43,43,10
44,20,17
45,32,20
46,46,4
47,44,3
48,48,3
49,49,13
50,50,2
51,14,11
52,16,12
53,53,1
54,4,4
55,51,8
56,28,3
57,51,11
58,58,1
59,59,1
60,11,4
61,61,1
62,62,1
63,50,9
64,64,9
65,65,9
66,66,14
67,67,1
68,53,23
69,69,1
70,24,15
71,22,5
72,7,4
73,16,16
74,4,7
75,62,9
76,76,7
77,77,9
78,51,11
79,50,12
80,80,1
81,63,13
82,24,18
83,83,1
84,9,4
85,22,9
86,32,18
87,10,4
88,12,4
89,10,17
90,87,7
91,91,1
92,92,1
93,48,6
94,68,8
95,95,2
96,14,4
97,8,4
98,98,1
99,99,1
100,17,5
1,1,11
2,2,9
3,1,3
4,2,13
5,5,14
6,1,19
7,3,24
8,4,3
9,1,26
10,10,1
11,2,51
12,1,41
13,2,3
14,13,12
15,3,3
16,15,36
17,16,2
18,14,15
19,11,13
20,20,13
21,6,7
22,15,9
23,3,25
24,1,18
25,9,18
26,19,18
27,26,9
28,11,8
29,29,12
30,4,3
31,6,4
32,32,21
33,1,29
34,32,19
35,33,22
36,1,27
37,37,1
38,18,4
39,39,12
40,11,3
41,30,24
42,42,1
43,7,3
44,44,2
45,20,16
46,4,6
47,47,1
48,9,3
49,16,15
50,50,8
51,51,10
52,14,10
53,53,12
54,54,9
55,51,7
56,28,2
57,10,3
58,16,11
59,12,3
60,24,14
61,22,4
62,62,8
63,63,2
64,64,8
65,51,10
66,8,3
67,67,13
68,14,3
69,69,8
70,53,22
71,71,1
72,72,1
73,50,11
74,74,3
75,22,8
76,17,4
77,24,17
78,78,8
79,63,2
80,80,1
81,81,6
82,32,17
83,63,12
84,68,7
85,10,16
86,86,1
87,48,5
88,88,1
89,18,3
90,90,1
91,66,2
92,16,3
93,11,4
94,90,3
95,14,8
96,87,6
97,97,1
98,98,1
99,64,15
100,42,9
1,1,10
2,1,2
3,2,12
4,4,2
5,5,13
6,2,8
7,1,18
8,3,23
9,2,50
10,2,2
11,3,2
12,1,40
13,1,25
14,1,17
15,15,35
16,16,1
17,13,11
18,11,12
19,4,2
20,3,24
